#fileName	intercept	slope	chi2/ndof
20350	-0.0000250810	0.0000008023	1.7647677583
20351	-0.0000250283	0.0000007949	1.5171353567
20352	-0.0000251746	0.0000007952	1.5398729934
20353	-0.0000256456	0.0000008027	1.2081714275
20354	-0.0000259793	0.0000008080	1.6862740369
20355	-0.0000265808	0.0000008037	1.7413662676
20356	-0.0000266472	0.0000008030	1.3534684256
20357	-0.0000268153	0.0000008047	1.2495656165
20358	-0.0000261903	0.0000007871	1.2786614323
20359	-0.0000266030	0.0000007964	1.2161125422
20360	-0.0000263578	0.0000007847	1.3566349887
20361	-0.0000272192	0.0000008126	1.0966346572
20362	-0.0000265759	0.0000007896	1.3701633988
20363	-0.0000273963	0.0000008089	1.5236775672
20364	-0.0000239429	0.0000007992	1.6172536201
20365	-0.0000238709	0.0000007948	1.6837462059
20366	-0.0000243396	0.0000008098	1.4487076901
20367	-0.0000244423	0.0000008138	1.4740313955
20368	-0.0000243399	0.0000008056	1.7995150600
20369	-0.0000240232	0.0000007939	1.1974255310
20370	-0.0000245579	0.0000008083	1.9119165765
20371	-0.0000246620	0.0000008129	2.2939788952
20372	-0.0000244331	0.0000008001	1.5323526588
20373	-0.0000243638	0.0000007977	1.5838161532
20374	-0.0000246831	0.0000008031	0.9697655387
20375	-0.0000249554	0.0000008004	1.8303087669
20376	-0.0000250244	0.0000008112	1.3446313529
20377	-0.0000252534	0.0000008183	1.6465322765
20378	-0.0000250477	0.0000008084	1.2018265261
20379	-0.0000251092	0.0000008061	1.2352851727
20380	-0.0000249820	0.0000008036	0.9252868173
20381	-0.0000247207	0.0000007922	1.6632834757
20382	-0.0000249504	0.0000007974	0.5496239384
20383	-0.0000249606	0.0000007935	1.9348243621
20384	-0.0000249064	0.0000008177	1.9237412435
20385	-0.0000248340	0.0000008147	1.0676038133
20386	-0.0000239927	0.0000007872	0.9352783613
20387	-0.0000247127	0.0000008042	1.2397242383
20396	-0.0000245905	0.0000008342	1.8556180967
20397	-0.0000249850	0.0000008428	1.1316643990
20398	-0.0000251168	0.0000008468	1.9904423068
20399	-0.0000246533	0.0000008280	1.1260059334
20400	-0.0000251273	0.0000008439	1.4890808990
20401	-0.0000247355	0.0000008310	1.5622410025
20402	-0.0000243909	0.0000008163	1.2489168093
20403	-0.0000250297	0.0000008314	1.4368831425
20404	-0.0000246572	0.0000008167	1.8167331636
20405	-0.0000248360	0.0000008216	1.2905120940
20406	-0.0000246129	0.0000008123	1.6098143848
20407	-0.0000260099	0.0000008303	1.1730485175
20408	-0.0000252082	0.0000008019	1.0553438801
20409	-0.0000250830	0.0000008211	1.9447049403
20410	-0.0000252130	0.0000008244	1.2840639431
20411	-0.0000248928	0.0000008170	1.2989318451
20412	-0.0000249061	0.0000008091	1.4881885876
20413	-0.0000252104	0.0000008189	1.7647105733
20414	-0.0000254490	0.0000007986	1.6768777505
20415	-0.0000259467	0.0000008125	1.0566473830
20416	-0.0000237166	0.0000008164	1.5219379822
20417	-0.0000238800	0.0000008177	1.4047768955
20418	-0.0000241979	0.0000008005	1.2888200255
20419	-0.0000254960	0.0000008285	1.7037836691
20420	-0.0000250550	0.0000008152	2.1618528851
20421	-0.0000253440	0.0000008168	1.3100019316
20422	-0.0000256529	0.0000008275	1.7562654923
20423	-0.0000253677	0.0000008158	1.7890933862
20424	-0.0000259222	0.0000008332	1.2600034236
20425	-0.0000250598	0.0000008009	1.4736034270
20426	-0.0000251108	0.0000008003	1.1372813896
20427	-0.0000253137	0.0000008051	1.6276880142
20428	-0.0000251887	0.0000008059	0.9744246853
20429	-0.0000251040	0.0000007972	1.2825621632
20430	-0.0000253989	0.0000008049	1.9883484962
20431	-0.0000257639	0.0000008117	2.0317776045
20432	-0.0000253029	0.0000007966	1.8539870352
20433	-0.0000256555	0.0000008073	1.9177198215
20434	-0.0000253331	0.0000007948	1.7746366198
20435	-0.0000255266	0.0000007944	2.0568693293
20436	-0.0000258131	0.0000008039	1.7456737147
20437	-0.0000258150	0.0000008005	1.1577382853
20438	-0.0000257985	0.0000007990	1.5114572080
20439	-0.0000239981	0.0000007936	1.9200880951
20440	-0.0000242543	0.0000008010	1.7753086104
20441	-0.0000244789	0.0000008037	1.1043708544
20443	-0.0000242421	0.0000007953	1.5683859281
20444	-0.0000242280	0.0000007899	1.2208555165
20445	-0.0000241667	0.0000007875	1.7287663024
20446	-0.0000242159	0.0000007884	1.2868916119
20447	-0.0000244691	0.0000007912	1.3615958183
20448	-0.0000243933	0.0000007874	3.0588029233
20449	-0.0000246204	0.0000007937	2.0076872932
20450	-0.0000245311	0.0000007919	1.0403893894
20451	-0.0000243596	0.0000007833	1.7525246105
20452	-0.0000247496	0.0000007932	0.8925946559
20453	-0.0000247973	0.0000007928	1.5001453446
20454	-0.0000247169	0.0000007911	1.2496836088
20455	-0.0000238962	0.0000007593	1.6844200355
20456	-0.0000240288	0.0000007629	1.6919159555
20457	-0.0000240400	0.0000007619	1.8921347770
